icao_code,name
DAUG,Noumérat - Moufdi Zakaria Airport
DAUH,Hassi Messaoud-Oued Irara Krim Belkacem Airport
DAUI,In Salah Airport
DAUK,Touggourt Sidi Madhi Airport
DAUL,Laghouat - Molay Ahmed Medeghri Airport
DAUO,Guemar Airport - مطار قمار بالوادي
DAUT,Timimoun Airport
DAUU,Ain Beida Airport
DAUZ,Zarzaitine - In Aménas Airport
DBBB,Cadjehoun Airport
DBBD,Djougou Airport
DBBK,Kandi Airport
DBBN,Natitingou Airport
DBBP,Parakou Airport
DBBS,Savé Airport
DFCA,Kaya Airport
DFCC,Ouahigouya Airport
DFCJ,Djibo Airport
DFCL,Leo Airport
DFCP,Po Airport
DFEA,Boulsa Airport
DFEB,Bogande Airport
DFED,Diapaga Airport
DFEE,Dori Airport
DFEF,Fada N'gourma Airport
DFEG,Gorom-Gorom Airport
DFEL,Kantchari Airport
DFEM,Tambao Airport
DFEP,Pama Airport
DFER,Arly Airport
DFES,Sebba Airport
DFET,Tenkodogo Airport
DFEZ,Zabré Airport
DFFD,Ouagadougou Airport
DFOB,Banfora Airport
DFOD,Dedougou Airport
DFOG,Gaoua Airport
DFON,Nouna Airport
DFOO,Bobo Dioulasso Airport
DFOT,Tougan Airport
DFOU,Diebougou Airport
DFOY,Aribinda Airport
DGAA,Kotoka International Airport
DGLE,Tamale Airport
DGLW,Wa Airport
DGSI,Kumasi Airport
DGSN,Sunyani Airport
DGTK,Takoradi Airport
DIAO,Aboisso Airport
DIAP,Félix-Houphouët-Boigny International Airport
DIAU,Abengourou Airport
DIBI,Boundiali Airport
DIBK,Bouaké Airport
DIBN,Bouna Airport
DIBU,Soko Airport
DIDK,Dimbokro Airport
DIDL,Daloa Airport
DIGA,Gagnoa Airport
DIGL,Guiglo Airport
DIGN,Nero-Mer Airport
DIKO,Korhogo Airport
DIMN,Man Airport
DIOD,Odienne Airport
DIOF,Ouango Fitini Airport
DISG,Séguéla Airport
DISP,San Pedro Airport
DISS,Sassandra Airport
DITB,Tabou Airport
DITM,Mahana Airport
DIYO,Yamoussoukro Airport
DMDM,Muhammadu Buhari International Cargo Airport
DNAA,Nnamdi Azikiwe International Airport
DNAI,Akwa Ibom International Airport
DNAK,Akure Airport
DNAS,Asaba International Airport
DNBE,Benin Airport
DNCA,Margaret Ekpo International Airport
DNEN,Akanu Ibiam International Airport
DNGO,Gombe Lawanti International Airport
DNIB,Ibadan Airport
DNIL,Ilorin International Airport
DNIM,Sam Mbakwe International Airport
DNJO,Yakubu Gowon Airport
DNKA,Kaduna Airport
DNKN,Mallam Aminu International Airport
DNMA,Maiduguri International Airport
